shift_check_in_week,new_dx_l7d,is_first_dash,completed_delivery,has_assignment,dx_cnt,shift_cnt,num_deliveries,shift_hours,num_assigns,num_accepts,ar,delivery_rate
2025-09-15,Y,True,has_completion,no_assignment,1,1.000000,1.000000000000,0.069167000000,0E-12,0E-12,0E-12,0E-12
2025-09-15,Y,True,no_completion,has_assignment,5459,1.000000,0E-12,0.453502017036,3.013189228796,0.112474812237,0.063597294743,0E-12
2025-09-15,N,True,no_completion,no_assignment,16250,1.000000,0E-12,0.286989300185,0E-12,0E-12,0E-12,0E-12
2025-09-15,N,False,no_completion,has_assignment,900112,3.155727,0E-12,0.450313956673,3.104107064923,0.164501212600,0.110108689075,0E-12
2025-09-15,N,True,no_completion,has_assignment,8437,1.000000,0E-12,0.465582718857,2.772430958872,0.086286594761,0.049837580064,0E-12
2025-09-15,N,True,has_completion,has_assignment,28152,1.000000,3.077507814720,1.743201703360,4.192526285877,2.854894856493,0.814759246093,1.093218407218
2025-09-15,Y,False,no_completion,no_assignment,14613,3.838568,0E-12,0.234892605318,0E-12,0E-12,0E-12,0E-12
2025-09-15,Y,False,has_completion,has_assignment,19985,4.869952,3.022703417463,1.629760762934,4.545344472905,2.800226987891,0.786925910732,1.095425131058
2025-09-15,N,False,no_completion,no_assignment,1229790,4.165302,0E-12,0.244352945316,0E-12,0E-12,0E-12,0E-12
2025-09-15,N,False,has_completion,has_assignment,1717168,7.559640,3.894385302325,1.963946071019,6.232933534691,3.480369252879,0.763609431533,1.178695542219
2025-09-15,N,False,has_completion,no_assignment,7,1.000000,1.000000000000,0.575396714286,0E-12,0E-12,0E-12,0E-12
2025-09-15,Y,True,has_completion,has_assignment,16527,1.000000,3.130755733043,1.756694276578,4.430144611847,2.911901736552,0.803469772312,1.089937335391
2025-09-15,Y,False,no_completion,has_assignment,9113,2.349501,0E-12,0.441175205664,2.739343193899,0.162161736530,0.105381871918,0E-12
