series_id,year,period,period_name,value,state
LAUST290000000000003,2021,M04,April,4.5,Missouri
LAUST290000000000003,2021,M03,March,5.0,Missouri
LAUST290000000000003,2021,M02,February,5.3,Missouri
LAUST290000000000003,2021,M01,January,5.5,Missouri
LAUST290000000000003,2020,M12,December,4.9,Missouri
LAUST290000000000003,2020,M11,November,4.5,Missouri
LAUST290000000000003,2020,M10,October,4.5,Missouri
LAUST290000000000003,2020,M09,September,5.2,Missouri
LAUST290000000000003,2020,M08,August,6.3,Missouri
LAUST290000000000003,2020,M07,July,8.0,Missouri
LAUST290000000000003,2020,M06,June,8.5,Missouri
LAUST290000000000003,2020,M05,May,9.9,Missouri
LAUST290000000000003,2020,M04,April,10.9,Missouri
LAUST290000000000003,2020,M03,March,4.2,Missouri
LAUST290000000000003,2020,M02,February,3.5,Missouri
LAUST290000000000003,2020,M01,January,3.8,Missouri
LAUST300000000000003,2025,M07,July,2.7,Montana
LAUST300000000000003,2025,M06,June,2.9,Montana
LAUST300000000000003,2025,M05,May,2.7,Montana
LAUST300000000000003,2025,M04,April,2.7,Montana
LAUST300000000000003,2025,M03,March,3.1,Montana
LAUST300000000000003,2025,M02,February,3.4,Montana
LAUST300000000000003,2025,M01,January,3.2,Montana
LAUST300000000000003,2024,M12,December,3.0,Montana
LAUST300000000000003,2024,M11,November,2.7,Montana
LAUST300000000000003,2024,M10,October,2.4,Montana
LAUST300000000000003,2024,M09,September,2.4,Montana
LAUST300000000000003,2024,M08,August,2.8,Montana
LAUST300000000000003,2024,M07,July,2.9,Montana
LAUST300000000000003,2024,M06,June,3.1,Montana
LAUST300000000000003,2024,M05,May,2.7,Montana
LAUST300000000000003,2024,M04,April,2.8,Montana
LAUST300000000000003,2024,M03,March,3.4,Montana
LAUST300000000000003,2024,M02,February,3.7,Montana
LAUST300000000000003,2024,M01,January,3.8,Montana
LAUST300000000000003,2023,M12,December,3.3,Montana
LAUST300000000000003,2023,M11,November,2.7,Montana
LAUST300000000000003,2023,M10,October,2.6,Montana
LAUST300000000000003,2023,M09,September,2.2,Montana
LAUST300000000000003,2023,M08,August,2.4,Montana
LAUST300000000000003,2023,M07,July,2.4,Montana
LAUST300000000000003,2023,M06,June,2.6,Montana
LAUST300000000000003,2023,M05,May,2.4,Montana
LAUST300000000000003,2023,M04,April,2.4,Montana
LAUST300000000000003,2023,M03,March,3.0,Montana
LAUST300000000000003,2023,M02,February,3.1,Montana
LAUST300000000000003,2023,M01,January,3.2,Montana
LAUST300000000000003,2022,M12,December,2.6,Montana
LAUST300000000000003,2022,M11,November,2.2,Montana
LAUST300000000000003,2022,M10,October,2.2,Montana
LAUST300000000000003,2022,M09,September,2.0,Montana
LAUST300000000000003,2022,M08,August,2.5,Montana
LAUST300000000000003,2022,M07,July,2.5,Montana
LAUST300000000000003,2022,M06,June,2.8,Montana
LAUST300000000000003,2022,M05,May,2.5,Montana
LAUST300000000000003,2022,M04,April,2.7,Montana
LAUST300000000000003,2022,M03,March,3.0,Montana
LAUST300000000000003,2022,M02,February,3.3,Montana
LAUST300000000000003,2022,M01,January,3.6,Montana
LAUST300000000000003,2021,M12,December,2.7,Montana
LAUST300000000000003,2021,M11,November,2.5,Montana
LAUST300000000000003,2021,M10,October,2.5,Montana
LAUST300000000000003,2021,M09,September,2.3,Montana
LAUST300000000000003,2021,M08,August,3.0,Montana
LAUST300000000000003,2021,M07,July,3.2,Montana
LAUST300000000000003,2021,M06,June,3.8,Montana
LAUST300000000000003,2021,M05,May,3.2,Montana
LAUST300000000000003,2021,M04,April,3.7,Montana
LAUST300000000000003,2021,M03,March,4.3,Montana
LAUST300000000000003,2021,M02,February,4.7,Montana
LAUST300000000000003,2021,M01,January,4.9,Montana
LAUST300000000000003,2020,M12,December,4.4,Montana
LAUST300000000000003,2020,M11,November,4.0,Montana
LAUST300000000000003,2020,M10,October,3.9,Montana
LAUST300000000000003,2020,M09,September,4.6,Montana
LAUST300000000000003,2020,M08,August,5.2,Montana
LAUST300000000000003,2020,M07,July,6.6,Montana
LAUST300000000000003,2020,M06,June,7.4,Montana
LAUST300000000000003,2020,M05,May,9.0,Montana
LAUST300000000000003,2020,M04,April,11.8,Montana
LAUST300000000000003,2020,M03,March,4.7,Montana
LAUST300000000000003,2020,M02,February,4.1,Montana
